id,center,availability,coefficient,total_dots,dot_ids,dot_coordinates,grids_ind_to_ind_distances,distance_avg,space_mean_speed,grid_density
0,"[0.0, 0.0]",f,Infinity,0,[],[],[],0,,0
1,"[12.0, 0.0]",f,Infinity,0,[],[],[],0,,0
2,"[24.0, 0.0]",t,1,0,[],[],[],0,,0
3,"[36.0, 0.0]",t,1,0,[],[],[],0,,0
4,"[48.0, 0.0]",t,1,0,[],[],[],0,,0
5,"[60.0, 0.0]",t,1,0,[],[],[],0,,0
6,"[72.0, 0.0]",t,1,0,[],[],[],0,,0
7,"[84.0, 0.0]",t,1,0,[],[],[],0,,0
8,"[96.0, 0.0]",t,1,0,[],[],[],0,,0
9,"[6.0, 3.4641016151377544]",f,Infinity,0,[],[],[],0,,0
10,"[18.0, 3.4641016151377544]",f,Infinity,0,[],[],[],0,,0
11,"[30.0, 3.4641016151377544]",t,1,0,[],[],[],0,,0
12,"[42.0, 3.4641016151377544]",t,1,0,[],[],[],0,,0
13,"[54.0, 3.4641016151377544]",t,1,0,[],[],[],0,,0
14,"[66.0, 3.4641016151377544]",t,1,0,[],[],[],0,,0
15,"[78.0, 3.4641016151377544]",t,1,0,[],[],[],0,,0
16,"[90.0, 3.4641016151377544]",t,1,0,[],[],[],0,,0
17,"[102.0, 3.4641016151377544]",t,1,0,[],[],[],0,,0
18,"[0.0, 6.928203230275509]",f,Infinity,0,[],[],[],0,,0
19,"[12.0, 6.928203230275509]",f,Infinity,0,[],[],[],0,,0
20,"[24.0, 6.928203230275509]",t,1,0,[],[],[],0,,0
21,"[36.0, 6.928203230275509]",t,1,0,[],[],[],0,,0
22,"[48.0, 6.928203230275509]",t,1,0,[],[],[],0,,0
23,"[60.0, 6.928203230275509]",t,1,0,[],[],[],0,,0
24,"[72.0, 6.928203230275509]",t,1,0,[],[],[],0,,0
25,"[84.0, 6.928203230275509]",t,1,0,[],[],[],0,,0
26,"[96.0, 6.928203230275509]",t,1,0,[],[],[],0,,0
27,"[6.0, 10.392304845413264]",t,1,0,[],[],[],0,,0
28,"[18.0, 10.392304845413264]",f,Infinity,0,[],[],[],0,,0
29,"[30.0, 10.392304845413264]",t,1,0,[],[],[],0,,0
30,"[42.0, 10.392304845413264]",t,1,0,[],[],[],0,,0
31,"[54.0, 10.392304845413264]",t,1,0,[],[],[],0,,0
32,"[66.0, 10.392304845413264]",t,1,0,[],[],[],0,,0
33,"[78.0, 10.392304845413264]",t,1,0,[],[],[],0,,0
34,"[90.0, 10.392304845413264]",t,1,0,[],[],[],0,,0
35,"[102.0, 10.392304845413264]",t,1,0,[],[],[],0,,0
36,"[0.0, 13.856406460551018]",f,Infinity,0,[],[],[],0,,0
37,"[12.0, 13.856406460551018]",f,Infinity,0,[],[],[],0,,0
38,"[24.0, 13.856406460551018]",f,Infinity,0,[],[],[],0,,0
39,"[36.0, 13.856406460551018]",f,Infinity,0,[],[],[],0,,0
40,"[48.0, 13.856406460551018]",f,Infinity,0,[],[],[],0,,0
41,"[60.0, 13.856406460551018]",f,Infinity,0,[],[],[],0,,0
42,"[72.0, 13.856406460551018]",f,Infinity,0,[],[],[],0,,0
43,"[84.0, 13.856406460551018]",f,Infinity,0,[],[],[],0,,0
44,"[96.0, 13.856406460551018]",f,Infinity,0,[],[],[],0,,0
45,"[6.0, 17.32050807568877]",t,1,0,[],[],[],0,,0
46,"[18.0, 17.32050807568877]",f,Infinity,0,[],[],[],0,,0
47,"[30.0, 17.32050807568877]",f,Infinity,0,[],[],[],0,,0
48,"[42.0, 17.32050807568877]",f,Infinity,0,[],[],[],0,,0
49,"[54.0, 17.32050807568877]",f,Infinity,0,[],[],[],0,,0
50,"[66.0, 17.32050807568877]",f,Infinity,0,[],[],[],0,,0
51,"[78.0, 17.32050807568877]",f,Infinity,0,[],[],[],0,,0
52,"[90.0, 17.32050807568877]",f,Infinity,0,[],[],[],0,,0
53,"[102.0, 17.32050807568877]",f,Infinity,0,[],[],[],0,,0
54,"[0.0, 20.784609690826528]",f,Infinity,0,[],[],[],0,,0
55,"[12.0, 20.784609690826528]",t,1,0,[],[],[],0,,0
56,"[24.0, 20.784609690826528]",f,Infinity,0,[],[],[],0,,0
57,"[36.0, 20.784609690826528]",f,Infinity,0,[],[],[],0,,0
58,"[48.0, 20.784609690826528]",f,Infinity,0,[],[],[],0,,0
59,"[60.0, 20.784609690826528]",t,1,0,[],[],[],0,,0
60,"[72.0, 20.784609690826528]",t,1,0,[],[],[],0,,0
61,"[84.0, 20.784609690826528]",t,1,0,[],[],[],0,,0
62,"[96.0, 20.784609690826528]",t,1,0,[],[],[],0,,0
63,"[6.0, 24.24871130596428]",t,1,0,[],[],[],0,,0
64,"[18.0, 24.24871130596428]",t,1,0,[],[],[],0,,0
65,"[30.0, 24.24871130596428]",t,1,0,[],[],[],0,,0
66,"[42.0, 24.24871130596428]",t,1,0,[],[],[],0,,0
67,"[54.0, 24.24871130596428]",t,1,0,[],[],[],0,,0
68,"[66.0, 24.24871130596428]",t,1,0,[],[],[],0,,0
69,"[78.0, 24.24871130596428]",t,1,0,[],[],[],0,,0
70,"[90.0, 24.24871130596428]",t,1,0,[],[],[],0,,0
71,"[102.0, 24.24871130596428]",f,Infinity,0,[],[],[],0,,0
72,"[0.0, 27.712812921102035]",f,Infinity,0,[],[],[],0,,0
73,"[12.0, 27.712812921102035]",t,1,0,[],[],[],0,,0
74,"[24.0, 27.712812921102035]",t,1,0,[],[],[],0,,0
75,"[36.0, 27.712812921102035]",t,1,0,[],[],[],0,,0
76,"[48.0, 27.712812921102035]",t,1,0,[],[],[],0,,0
77,"[60.0, 27.712812921102035]",t,1,0,[],[],[],0,,0
78,"[72.0, 27.712812921102035]",t,1,0,[],[],[],0,,0
79,"[84.0, 27.712812921102035]",t,1,0,[],[],[],0,,0
80,"[96.0, 27.712812921102035]",t,1,0,[],[],[],0,,0
81,"[6.0, 31.17691453623979]",t,1,0,[],[],[],0,,0
82,"[18.0, 31.17691453623979]",t,1,0,[],[],[],0,,0
