grid_id,neighbor_ids,distances
0,"[9, 18]","[6.928203230275509, 6.928203230275509]"
1,"[9, 10, 19]","[6.928203230275509, 6.928203230275509, 6.928203230275509]"
2,"[10, 11, 20]","[6.928203230275509, 6.928203230275509, 6.928203230275509]"
3,"[11, 12, 21]","[6.928203230275509, 6.928203230275509, 6.928203230275509]"
4,"[12, 13, 22]","[6.928203230275509, 6.928203230275509, 6.928203230275509]"
5,"[13, 14, 23]","[6.928203230275509, 6.928203230275509, 6.928203230275509]"
6,"[14, 15, 24]","[6.928203230275509, 6.928203230275509, 6.928203230275509]"
7,"[15, 16, 25]","[6.928203230275509, 6.928203230275509, 6.928203230275509]"
8,"[16, 17, 26]","[6.928203230275509, 6.928203230275509, 6.928203230275509]"
9,"[0, 1, 18, 19, 27]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551]"
10,"[1, 2, 19, 20, 28]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551]"
11,"[2, 3, 20, 21, 29]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551]"
12,"[3, 4, 21, 22, 30]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551]"
13,"[4, 5, 22, 23, 31]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551]"
14,"[5, 6, 23, 24, 32]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551]"
15,"[6, 7, 24, 25, 33]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551]"
16,"[7, 8, 25, 26, 34]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551]"
17,"[8, 26, 35]","[6.928203230275509, 6.928203230275509, 6.92820323027551]"
18,"[0, 9, 27, 36]","[6.928203230275509, 6.928203230275509, 6.92820323027551, 6.928203230275509]"
19,"[1, 9, 10, 27, 28, 37]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551, 6.92820323027551, 6.928203230275509]"
20,"[2, 10, 11, 28, 29, 38]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551, 6.92820323027551, 6.928203230275509]"
21,"[3, 11, 12, 29, 30, 39]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551, 6.92820323027551, 6.928203230275509]"
22,"[4, 12, 13, 30, 31, 40]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551, 6.92820323027551, 6.928203230275509]"
23,"[5, 13, 14, 31, 32, 41]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551, 6.92820323027551, 6.928203230275509]"
24,"[6, 14, 15, 32, 33, 42]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551, 6.92820323027551, 6.928203230275509]"
25,"[7, 15, 16, 33, 34, 43]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551, 6.92820323027551, 6.928203230275509]"
26,"[8, 16, 17, 34, 35, 44]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.92820323027551, 6.92820323027551, 6.928203230275509]"
27,"[9, 18, 19, 36, 37, 45]","[6.92820323027551, 6.92820323027551, 6.92820323027551, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
28,"[10, 19, 20, 37, 38, 46]","[6.92820323027551, 6.92820323027551, 6.92820323027551, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
29,"[11, 20, 21, 38, 39, 47]","[6.92820323027551, 6.92820323027551, 6.92820323027551, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
30,"[12, 21, 22, 39, 40, 48]","[6.92820323027551, 6.92820323027551, 6.92820323027551, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
31,"[13, 22, 23, 40, 41, 49]","[6.92820323027551, 6.92820323027551, 6.92820323027551, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
32,"[14, 23, 24, 41, 42, 50]","[6.92820323027551, 6.92820323027551, 6.92820323027551, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
33,"[15, 24, 25, 42, 43, 51]","[6.92820323027551, 6.92820323027551, 6.92820323027551, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
34,"[16, 25, 26, 43, 44, 52]","[6.92820323027551, 6.92820323027551, 6.92820323027551, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
35,"[17, 26, 44, 53]","[6.92820323027551, 6.92820323027551, 6.928203230275509, 6.928203230275507]"
36,"[18, 27, 45, 54]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
37,"[19, 27, 28, 45, 46, 55]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
38,"[20, 28, 29, 46, 47, 56]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
39,"[21, 29, 30, 47, 48, 57]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
40,"[22, 30, 31, 48, 49, 58]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
41,"[23, 31, 32, 49, 50, 59]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
42,"[24, 32, 33, 50, 51, 60]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
43,"[25, 33, 34, 51, 52, 61]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
44,"[26, 34, 35, 52, 53, 62]","[6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
45,"[27, 36, 37, 54, 55, 63]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105]"
46,"[28, 37, 38, 55, 56, 64]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105]"
47,"[29, 38, 39, 56, 57, 65]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105]"
48,"[30, 39, 40, 57, 58, 66]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105]"
49,"[31, 40, 41, 58, 59, 67]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105]"
50,"[32, 41, 42, 59, 60, 68]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105]"
51,"[33, 42, 43, 60, 61, 69]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105]"
52,"[34, 43, 44, 61, 62, 70]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105]"
53,"[35, 44, 62, 71]","[6.928203230275507, 6.928203230275509, 6.9282032302755105, 6.9282032302755105]"
54,"[36, 45, 63, 72]","[6.9282032302755105, 6.9282032302755105, 6.928203230275509, 6.928203230275507]"
55,"[37, 45, 46, 63, 64, 73]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
56,"[38, 46, 47, 64, 65, 74]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
57,"[39, 47, 48, 65, 66, 75]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
58,"[40, 48, 49, 66, 67, 76]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
59,"[41, 49, 50, 67, 68, 77]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
60,"[42, 50, 51, 68, 69, 78]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
61,"[43, 51, 52, 69, 70, 79]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
62,"[44, 52, 53, 70, 71, 80]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
63,"[45, 54, 55, 72, 73, 81]","[6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
64,"[46, 55, 56, 73, 74, 82]","[6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
65,"[47, 56, 57, 74, 75, 83]","[6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
66,"[48, 57, 58, 75, 76, 84]","[6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
67,"[49, 58, 59, 76, 77, 85]","[6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
68,"[50, 59, 60, 77, 78, 86]","[6.9282032302755105, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
