id,center,availability,coefficient,total_dots,dot_ids,dot_coordinates,grids_ind_to_ind_distances,distance_avg,space_mean_speed,grid_density
83,"[30.0, 31.17691453623979]",t,1,0,[],[],[],0,1.046,0
104,"[66.0, 38.1051177665153]",t,1,5,"[71, 208, 272, 456, 586]","[[63.60046424044128, 37.267171741726706], [68.76031687723061, 36.25863243400969], [68.09750537111884, 35.10754443645171], [66.61474413908299, 34.642239283519295], [68.58598772433461, 37.34595512448386]]","[1.6, 1.52, 1.21, 1.51, 0.4, 0.81, 0.33, 0.47, 0.69, 1.01]",1.91,1.0001892,0.12030799
166,"[48.0, 62.35382907247958]",t,1,1,[329],"[[48.4341296702726, 65.27559438966786]]",[],0,1.0368378,0.024061598
168,"[72.0, 62.35382907247958]",t,1,3,"[249, 511, 557]","[[69.92435637093946, 64.48134639557144], [70.46452042667634, 64.46982936141386], [69.82799840098258, 63.40841085205467]]","[0.16, 0.32, 0.37]",0.28,1.0185136,0.07218479
170,"[96.0, 62.35382907247958]",t,1,4,"[88, 216, 297, 490]","[[92.70293213871689, 63.17431068223705], [98.82720772975371, 64.09843068820292], [92.99863478689595, 63.75430518075754], [94.21817067705452, 65.27683957622959]]","[1.88, 0.19, 0.78, 1.77, 1.45, 0.59]",1.66,1.0093514,0.09624639
218,"[24.0, 83.13843876330611]",f,Infinity,1,[277],"[[27.38124298814619, 82.96714184845578]]",[],0,1.0368378,0.024061598
136,"[18.0, 51.96152422706632]",t,1,2,"[320, 513]","[[15.902132511519945, 54.52383331217299], [15.582051047584303, 51.699067611985086]]",[0.86],0.43,1.0276757,0.048123196
177,"[78.0, 65.81793068761733]",f,Infinity,3,"[133, 279, 479]","[[75.95998490422922, 67.55100779543173], [75.55009996504852, 65.9631002834114], [76.93161315536203, 68.1398957378543]]","[0.49, 0.34, 0.78]",0.53,1.0185136,0.07218479
266,"[66.0, 100.45894683899488]",t,1,2,"[384, 454]","[[63.819537296389846, 97.67044898900474], [63.126430612249564, 100.18784873289316]]",[0.79],0.39,1.0276757,0.048123196
278,"[96.0, 103.92304845413263]",t,1,0,[],[],[],0,1.046,0
287,"[102.0, 107.38715006927038]",t,1,0,[],[],[],0,1.046,0
288,"[0.0, 110.85125168440814]",f,Infinity,0,[],[],[],0,1.046,0
