id,vertices
1,"[[1.3600579411801021, 88.89027001144179], [22.75125816454142, 88.89027001144179], [22.75125816454142, 88.89027001144179]]"
2,"[[1.3600579411801021, 91.52809150744179], [22.75125816454142, 91.52809150744179], [22.75125816454142, 91.52809150744179]]"
3,"[[1.362030530296778, 94.16591300344177], [22.75125816454142, 94.16591300344179], [22.75125816454142, 94.16591300344179]]"
4,"[[1.3694297312800359, 96.8037527874418], [22.75125816454142, 96.8037527874418], [22.75125816454142, 96.8037527874418]]"
5,"[[1.366896789602201, 99.44157428344178], [22.75125816454142, 99.44157428344178], [22.75125816454142, 99.44157428344178]]"
6,"[[1.366896789602201, 102.0793957794418], [22.75125816454142, 102.07939577944178], [22.75125816454142, 102.07939577944178]]"
7,"[[51.063456556541425, 18.067688771441787], [51.063456556541425, 17.226154259441785], [34.25185898854142, 17.22621217144178], [17.274392308541422, 17.226154259441785], [17.274392308541422, 18.067688771441787], [34.25185898854142, 18.067688771441787], [51.063456556541425, 18.067688771441787]]"
8,"[[34.14688891654142, 18.17796845944178], [17.274392308541422, 18.17796845944178], [17.274392308541422, 18.084769763441777], [34.14688891654142, 18.084769763441777], [34.14688891654142, 18.17796845944178]]"
9,"[[51.06310603654142, 18.17796845944178], [34.29629273254142, 18.17796845944178], [34.29629273254142, 18.084769763441777], [51.06310603654142, 18.084769763441777], [51.06310603654142, 18.17796845944178]]"
10,"[[26.331627940541424, 18.22798918744178], [26.331627940541424, 18.22798918744178], [26.33045141254142, 18.22642556344178], [26.326961452541426, 18.224886323441773], [26.32122816454142, 18.223371467441787], [26.313321652541422, 18.221887091441786], [26.303308972541423, 18.220436243441775], [26.291254132541425, 18.219021971441784], [26.277230284541425, 18.217644275441778], [26.26130448454142, 18.216306203441782], [26.243540740541423, 18.215016899441785], [26.224012204541417, 18.213770267441774], [26.20278288454142, 18.212575451441786], [26.179922884541423, 18.211432451441787], [26.155499260541422, 18.21034431544178], [26.12958211654142, 18.209317139441787], [26.10223850854142, 18.20834787544178], [26.073532444541417, 18.20744566744178], [26.043537076541423, 18.206607467441778], [26.01231946054142, 18.205842419441773], [25.97994665254142, 18.205147475441777], [25.96636781254142, 18.20490363544178], [25.952606092541423, 18.20471770744178], [25.93867063654142, 18.20458664344178], [25.92456449254142, 18.20450129944178], [25.91029375654142, 18.204458627441788], [25.895858428541423, 18.204455579441778], [25.881267652541418, 18.204486059441784], [25.866524476541418, 18.204540923441783], [25.851638044541424, 18.204620171441782], [25.836608356541422, 18.204714659441784], [25.821441508541422, 18.204821339441786], [25.806143596541418, 18.204937163441777], [25.79071766854142, 18.205052987441775], [25.775169820541418, 18.205162715441787], [25.75950614854142, 18.20526634744178], [25.74372970054142, 18.205357787441777], [25.72784657254142, 18.20542789144178], [25.711859812541423, 18.205473611441782], [25.695775516541417, 18.205488851441785], [25.67863966054142, 18.205473611441782], [25.66161658054142, 18.205430939441783], [25.644706276541417, 18.20536693144178], [25.62792094054142, 18.205284635441785], [25.611266668541422, 18.205193195441787], [25.594743460541416, 18.205092611441778], [25.578360460541415, 18.20498897944178], [25.56212376454142, 18.204891443441774], [25.546039468541423, 18.204803051441793], [25.53011062054142, 18.20472380344178], [25.51434636454142, 18.204668939441788], [25.49874974854142, 18.20463236344178], [25.483329916541418, 18.204629315441778], [25.46808991654142, 18.20465674744178], [25.453035844541418, 18.20472380344178], [25.43817379654142, 18.204836579441782], [25.42350986854142, 18.204998123441783], [25.409047108541426, 18.205214531441776], [25.394797708541425, 18.205488851441785], [25.36384526854142, 18.20620208344178], [25.33401754054142, 18.206982371441782], [25.305381580541418, 18.207829715441783], [25.277998348541423, 18.208734971441785], [25.251925756541418, 18.20970118744178], [25.227230860541418, 18.21072226744178], [25.20397766854142, 18.21179821144178], [25.18222104454142, 18.212925971441784], [25.16203109254142, 18.214102499441772], [25.143468772541418, 18.215324747441784], [25.126595044541418, 18.21658966744178], [25.111470868541424, 18.217897259441784], [25.098160252541422, 18.219244475441776], [25.086727204541422, 18.22062521944177], [25.07723268454142, 18.222042539441787], [25.069737652541424, 18.22349033944179], [25.06430916454142, 18.224965571441786], [25.06100513254142, 18.226465187441782], [25.059889564541418, 18.22798918744178], [25.06222433254142, 18.230195939441785], [25.06910366854142, 18.232347827441778], [25.080335548541417, 18.234441803441776], [25.095727948541416, 18.23646872344178], [25.115088844541418, 18.238419443441778], [25.13822926054142, 18.240287867441786], [25.16495412454142, 18.242064851441782], [25.19507750854142, 18.243741251441783], [25.228401292541417, 18.245317067441782], [25.26473954854142, 18.246777059441776], [25.30390025254142, 18.24811513144177], [25.34568833254142, 18.249325187441777], [25.389914812541424, 18.250398083441787], [25.43639071654142, 18.251327723441776], [25.484920972541424, 18.25210496344178], [25.53531660454142, 18.252720659441778], [25.587385588541423, 18.253171763441777], [25.640935900541418, 18.253449131441783], [25.695775516541417, 18.25354361944178], [25.750618180541423, 18.253449131441783], [25.804165444541425, 18.253171763441777], [25.85623442854142, 18.252720659441778], [25.906627012541424, 18.252101915441777], [25.95515726854142, 18.25132162744179], [26.001630124541425, 18.25039198744178], [26.04585355654142, 18.249316043441787], [26.087641636541424, 18.248105987441782], [26.12679929254142, 18.246764867441783], [26.16313450054142, 18.245304875441775], [26.196455236541425, 18.243729059441783], [26.226575572541424, 18.24204961144177], [26.25329738854142, 18.240272627441783], [26.276434756541423, 18.238407251441792], [26.295795652541425, 18.236456531441775], [26.31118500454142, 18.234432659441786], [26.32241688454142, 18.23234173144177], [26.32929317254142, 18.23019289144178]]"
