id,vertices
1,"[[42.616662172541425, 75.19156741144178], [42.60291264454142, 75.19156741144178], [42.602354860541425, 75.19161008344179], [42.60076075654142, 75.19169847544178], [42.59824920454142, 75.19177162744178], [42.59493298054142, 75.19177162744178], [42.590940100541424, 75.19163751544178], [42.58638029254142, 75.19130528344178], [42.581375476541425, 75.19072006744179], [42.57604452454142, 75.18982090744178], [42.57050326054142, 75.18854379544179], [42.56487055654142, 75.18683081944178], [42.55926833254142, 75.18462101944178], [42.55380936454142, 75.18185648344178], [42.54861557254142, 75.17847320344178], [42.54380582854142, 75.17441631544179], [42.53949595654142, 75.16961876344179], [42.53580482854142, 75.16402873144179], [42.532851316541425, 75.15757611544178], [42.53075124454142, 75.15020909944178], [42.52962653254142, 75.14186367544178], [42.19264270054143, 70.23017626744178], [42.19321572454142, 70.22111151544178], [42.19490736454142, 70.21225707544178], [42.19766580454142, 70.20364342744179], [42.20144532454142, 70.19530105144179], [42.206200204541425, 70.18726347544178], [42.21187862854142, 70.17956117944178], [42.21843792454142, 70.17222769144178], [42.225826276541426, 70.16529653944178], [42.23399796454142, 70.15879820344179], [42.24290726854142, 70.15276621144179], [42.25250237254142, 70.14723409144179], [42.262737556541424, 70.14222927544178], [42.27356405254142, 70.13778833944178], [42.28493614054142, 70.13394176344178], [42.29680810054142, 70.13072002744178], [42.30912811654142, 70.12816275544179], [42.321847420541424, 70.12629128344179], [42.33492334054142, 70.12514828344179], [42.34830710854142, 70.12475813944178], [49.568016316541424, 70.12475813944178], [49.581415324541425, 70.12514828344179], [49.59450648454142, 70.12629128344179], [49.607241028541424, 70.12816275544179], [49.619570188541424, 70.13072002744178], [49.63145129254142, 70.13394176344178], [49.64283252454142, 70.13778833944178], [49.65366816454142, 70.14222927544178], [49.663909444541424, 70.14723409144179], [49.67351064454142, 70.15276621144179], [49.68241994854142, 70.15879820344179], [49.69059773254142, 70.16529653944178], [49.69798913254142, 70.17222769144178], [49.70454842854142, 70.17956117944178], [49.71022990054142, 70.18726347544178], [49.71498478054142, 70.19530105144179], [49.71876734854142, 70.20364342744179], [49.72152578854142, 70.21225707544178], [49.723217428541425, 70.22111151544178], [49.72379045254142, 70.23017626744178], [49.40672225254142, 75.14186367544178], [49.40669786854142, 75.14197645144178], [49.40662166854142, 75.14231173144178], [49.406478412541425, 75.14285122744178], [49.406262004541425, 75.14358579544178], [49.40596025254142, 75.14450019544178], [49.40556096454142, 75.14558223544178], [49.40505194854142, 75.14681972344178], [49.40442710854142, 75.14820046744178], [49.40367425254142, 75.14970617944178], [49.402781188541425, 75.15133076344179], [49.401735724541425, 75.15305593144178], [49.40053176454142, 75.15486949144179], [49.39915406854142, 75.15676229944178], [49.39759654054142, 75.15871606744179], [49.39584394054142, 75.16072165144178], [49.39389017254142, 75.16276381144178], [49.391719996541426, 75.16483035544178], [49.389327316541426, 75.16690909144178], [49.38669689254142, 75.16898782744178], [49.38413657254142, 75.17081053144179], [49.381381180541425, 75.17261189944179], [49.37841852454142, 75.1743888834418], [49.37524250854142, 75.17612624344179], [49.37184398854142, 75.17782093144179], [49.368216868541424, 75.17945770744178], [49.36434895654142, 75.18103047544179], [49.36024025254142, 75.18253009144178], [49.355875516541424, 75.18394436344178], [49.351251700541425, 75.18527024344178], [49.346359660541424, 75.18649553944178], [49.34119330054142, 75.18760805944179], [49.33574042854142, 75.18860475544179], [49.32999799654142, 75.18947038744179], [49.32395381254142, 75.19020190744178], [49.31760178054142, 75.19078407544178], [49.31093885254142, 75.19121384344179], [49.30394978854142, 75.19147597144179], [49.29663154054142, 75.19156741144178], [49.28439686854142, 75.19156741144178]]"
2,"[[42.63841879654142, 75.35078883544179], [42.63841879654142, 75.12141159544178], [42.638866852541426, 75.11436461944179], [42.64018054054142, 75.10747918744178], [42.64232633254142, 75.10078273144178], [42.645264604541424, 75.09429658744179], [42.648961828541424, 75.08804513944179], [42.65337533254142, 75.08205886744179], [42.65847463654142, 75.07635605944178], [42.66422011654142, 75.07096719544178], [42.670572148541424, 75.06591665944178], [42.677497204541424, 75.06122578744178], [42.68495870854142, 75.05692505944178], [42.692917036541424, 75.05303581144179], [42.70133561254142, 75.04958242744178], [42.710174812541425, 75.04659233944179], [42.71940415654142, 75.04408688344179], [42.72898402054142, 75.04209653944179], [42.73887478054142, 75.04064569144178], [42.74903986054142, 75.03975567544178], [42.75944573254142, 75.03945392344178], [43.012426684541424, 75.03945392344178], [43.022832556541424, 75.03975567544178], [43.03300068454142, 75.04064569144178], [43.042891444541425, 75.04209653944179], [43.052468260541424, 75.04408688344179], [43.06169760454142, 75.04659233944179], [43.07053985254142, 75.04958242744178], [43.07895538054142, 75.05303581144179], [43.086913708541424, 75.05692505944178], [43.09437521254142, 75.06122578744178], [43.10130026854142, 75.06591665944178], [43.107652300541424, 75.07096719544178], [43.11339778054142, 75.07635605944178], [43.118497084541424, 75.08205886744179], [43.12291058854142, 75.08804513944179], [43.12660781254142, 75.09429658744179], [43.129546084541424, 75.10078273144178], [43.131691876541424, 75.10747918744178], [43.13300556454142, 75.11436461944179], [43.133453620541424, 75.12141159544178], [43.133453620541424, 75.35078883544179]]"
3,"[[48.81101503654142, 75.36229808344179], [48.81101503654142, 75.13292084344178], [48.81146309254142, 75.12587386744178], [48.81277678054142, 75.11898843544178], [48.81492257254142, 75.11229197944178], [48.81786084454142, 75.10580583544179], [48.82155806854142, 75.09955438744178], [48.82597157254142, 75.09356811544178], [48.831070876541425, 75.08786530744179], [48.83681635654142, 75.08247644344178], [48.84316838854142, 75.07742590744178], [48.85009344454142, 75.07273503544178], [48.85755494854142, 75.06843430744178], [48.865510228541424, 75.06454505944178], [48.87392880454142, 75.06109167544179], [48.88277105254142, 75.05810158744178], [48.89200039654142, 75.05559613144179], [48.901577212541426, 75.05360578744178], [48.91146797254142, 75.05215493944178], [48.92163610054142, 75.05126492344178], [48.93204197254142, 75.05096317144178], [49.18502292454142, 75.05096317144178], [49.19542879654142, 75.05126492344178], [49.20559387654142, 75.05215493944178], [49.21548463654142, 75.05360578744178], [49.22506450054142, 75.05559613144179], [49.23429384454142, 75.05810158744178], [49.24313304454142, 75.06109167544179], [49.25155162054142, 75.06454505944178], [49.25950994854142, 75.06843430744178], [49.26697145254142, 75.07273503544178], [49.27389650854142, 75.07742590744178], [49.28024854054142, 75.08247644344178], [49.28599402054142, 75.08786530744179], [49.291090276541425, 75.09356811544178], [49.29550682854142, 75.09955438744178], [49.29920405254142, 75.10580583544179], [49.30214232454142, 75.11229197944178], [49.30428811654142, 75.11898843544178], [49.305601804541425, 75.12587386744178], [49.30604986054142, 75.13292084344178], [49.30604986054142, 75.36229808344179]]"
4,"[[49.41224218054142, 76.23686072344178], [42.52453942054142, 76.23686072344178], [42.51734614054142, 76.23665345944178], [42.51032354854142, 76.23604385944178], [42.50349602854142, 76.23504716344178], [42.49688796454142, 76.23368165944179], [42.49052678854142, 76.23196258744179], [42.48443383654142, 76.22990823544178], [42.47863654054142, 76.22753689144179], [42.473159284541424, 76.22486379544179], [42.46802645254142, 76.22190723544179], [42.46326547654142, 76.21868245144178], [42.45889769254142, 76.21520773144178], [42.45495053254142, 76.21149831544179], [42.45144838054142, 76.20757249144178], [42.44841866854142, 76.20344549944178], [42.445879684541424, 76.19913562744179], [42.44386495654142, 76.19466116344178], [42.442392772541425, 76.19004039544178], [42.44149361254142, 76.18528246744178], [42.44118576454142, 76.18041481144178], [42.44118576454142, 75.41874704344178], [42.44149361254142, 75.41387633944179], [42.442392772541425, 75.40911841144178], [42.44386495654142, 75.40449764344179], [42.445879684541424, 75.40002013144178], [42.44841866854142, 75.39571330744178], [42.45144838054142, 75.39158631544178], [42.45495053254142, 75.38766049144178], [42.45889769254142, 75.38395107544179], [42.46326547654142, 75.38047635544179], [42.46802645254142, 75.37725157144179], [42.473159284541424, 75.37429501144179], [42.47863654054142, 75.37162191544178], [42.48443383654142, 75.36925057144178], [42.49052678854142, 75.36719621944178], [42.49688796454142, 75.36548019544179], [42.50349602854142, 75.36411469144178], [42.51032354854142, 75.36311799544178], [42.51734614054142, 75.36250534744178], [42.52453942054142, 75.36229808344179], [49.41224218054142, 75.36229808344179], [49.41943546054142, 75.36250534744178], [49.42645805254142, 75.36311799544178], [49.43328557254142, 75.36411469144178], [49.43989363654142, 75.36548019544179], [49.446254812541426, 75.36719621944178], [49.45234776454142, 75.36925057144178], [49.45814506054142, 75.37162191544178], [49.463622316541425, 75.37429501144179], [49.46875514854142, 75.37725157144179], [49.47351917254142, 75.38047635544179], [49.47788390854142, 75.38395107544179], [49.481831068541425, 75.38766049144178], [49.48533322054142, 75.39158631544178], [49.488365980541424, 75.39571330744178], [49.490901916541425, 75.40002013144178], [49.49291969254142, 75.40449764344179], [49.494388828541425, 75.40911841144178], [49.495291036541424, 75.41387633944179], [49.49559583654142, 75.41874704344178], [49.49559583654142, 76.18041481144178], [49.495291036541424, 76.18528246744178], [49.494388828541425, 76.19004039544178], [49.49291969254142, 76.19466116344178], [49.490901916541425, 76.19913562744179], [49.488365980541424, 76.20344549944178], [49.48533322054142, 76.20757249144178], [49.481831068541425, 76.21149831544179], [49.47788390854142, 76.21520773144178], [49.47351917254142, 76.21868245144178], [49.46875514854142, 76.22190723544179], [49.463622316541425, 76.22486379544179], [49.45814506054142, 76.22753689144179], [49.45234776454142, 76.22990823544178], [49.446254812541426, 76.23196258744179], [49.43989363654142, 76.23368165944179], [49.43328557254142, 76.23504716344178], [49.42645805254142, 76.23604385944178], [49.41943546054142, 76.23665345944178], [49.41224218054142, 76.23686072344178]]"
5,"[[87.05947702054142, 62.10590600344178], [87.05726417254142, 62.14101896344178], [87.05947702054142, 62.10590600344178], [87.06939216454143, 61.94603840344178], [87.07923720454141, 61.78611289144178], [87.08308987654142, 61.723494779441786], [82.84761041254143, 61.723494779441786], [82.86130812454142, 61.94603840344178], [82.87992835654143, 62.24629993144178], [83.39873453254143, 62.246418803441784], [83.93194860454142, 62.24654072344178], [84.79805304454143, 62.246778467441786], [84.98404200454144, 62.246778467441786], [85.13265029254143, 62.246659595441784], [85.49856574054142, 62.246659595441784], [85.99875168454142, 62.24654072344178], [86.53196575654142, 62.246418803441784], [87.05077193254142, 62.24629993144178], [87.05291162854142, 62.211186971441784], [87.05512447654142, 62.176074011441784], [87.05726417254142, 62.14101896344178], [87.05512447654142, 62.176074011441784], [87.05291162854142, 62.211186971441784], [87.05077193254142, 62.24629993144178], [86.53196575654142, 62.246418803441784], [85.99875168454142, 62.24654072344178], [85.49856574054142, 62.246659595441784], [85.13265029254143, 62.246659595441784], [84.98404200454144, 62.246778467441786], [84.79805304454143, 62.246778467441786], [83.93194860454142, 62.24654072344178], [83.39873453254143, 62.246418803441784], [82.87992835654143, 62.24629993144178], [82.85124972454142, 62.18284361944178], [82.82264119654143, 62.119387307441784], [82.70984690854142, 61.81505365144179], [82.70984690854142, 61.385127155441786], [82.82670722854142, 61.385127155441786], [82.82670722854142, 60.97658847544179], [82.82678647654141, 60.973482563441785], [82.82702422054142, 60.970410179441785], [82.82741436454143, 60.96737132344178], [82.82795386054143, 60.964369043441785], [82.82863966054143, 60.96140943544178], [82.82946871654143, 60.958495547441785], [82.83044102854143, 60.95562433144178], [82.83154745254143, 60.95280493144178], [82.83278798854143, 60.950037347441786], [82.83415958854143, 60.94732462744178], [82.83565920454143, 60.944669819441785], [82.83728074054142, 60.94207597144178], [82.83902419654143, 60.939543083441784], [82.84088347654142, 60.937077251441785], [82.84285553254142, 60.93468152344178], [82.84494036454143, 60.93235589944178], [82.84712882854143, 60.930103427441786], [82.84942397254143, 60.92793020344178], [82.85181970054143, 60.925836227441785], [82.85431296454142, 60.923815403441786], [82.85690071654142, 60.921879923441786], [82.85958295654143, 60.92003283544178], [82.86235054054143, 60.91827718744178], [82.86520346854142, 60.91661602744178], [82.86814174054143, 60.91504935544178], [82.87115621254142, 60.91358021944178], [82.87424688454142, 60.912214715441785], [82.87741070854142, 60.910952843441784], [82.88064463654143, 60.90980069944178], [82.88394257254143, 60.90875523544178], [82.88730451654142, 60.90782254744178], [82.89072437254143, 60.90700568344178], [82.89420214054142, 60.90630769144178], [82.89773172454143, 60.90573161944178], [82.90131312454142, 60.905277467441785], [82.90494024454142, 60.90495133144179], [82.90861003654143, 60.904753211441786], [82.91231945254142, 60.90468615544178], [87.01838388454142, 60.90468615544178], [87.02209330054143, 60.904753211441786], [87.02576309254142, 60.90495133144179], [87.02938716454142, 60.905277467441785], [87.03296856454142, 60.90573161944178], [87.03649814854143, 60.90630769144178], [87.03997591654142, 60.90700568344178], [87.04339577254143, 60.90782254744178], [87.04675771654142, 60.90875523544178], [87.05005565254143, 60.90980069944178], [87.05328958054142, 60.910952843441784], [87.05645340454143, 60.912214715441785], [87.05954407654141, 60.91358021944178], [87.06255854854143, 60.91504935544178], [87.06549682054143, 60.91661602744178], [87.06834974854141, 60.91827718744178], [87.07112038054143, 60.92003283544178], [87.07379957254142, 60.921879923441786], [87.07638732454143, 60.923815403441786], [87.07888058854142, 60.925836227441785], [87.08127631654142, 60.92793020344178], [87.08357146054144, 60.930103427441786], [87.08576297254143, 60.93235589944178], [87.08784475654143, 60.93468152344178], [87.08981986054143, 60.937077251441785], [87.09167914054143, 60.939543083441784], [87.09341954854142, 60.94207597144178], [87.09504413254142, 60.944669819441785], [87.09654070054142, 60.94732462744178], [87.09791230054142, 60.950037347441786], [87.09915283654144, 60.95280493144178], [87.10026230854143, 60.95562433144178], [87.10123157254142, 60.958495547441785], [87.10206062854144, 60.96140943544178], [87.10274947654142, 60.964369043441785], [87.10328897254142, 60.96737132344178], [87.10367911654143, 60.970410179441785], [87.10391381254144, 60.973482563441785], [87.10399306054143, 60.97658847544179], [87.10399306054143, 61.385127155441786], [87.09158160454143, 61.585618499441786], [87.08308987654142, 61.723494779441786]]"
6,"[[85.49856574054142, 61.84872795544178], [85.83701566054143, 61.84872795544178], [85.49856574054142, 61.84872795544178], [85.49856574054142, 61.723494779441786], [85.49856574054142, 61.84872795544178], [85.49856574054142, 61.84872795544178], [85.49856574054142, 61.84872795544178], [85.83701566054143, 61.84872795544178], [85.49856574054142, 61.84872795544178], [85.49856574054142, 61.723494779441786], [85.49856574054142, 61.84872795544178], [85.49856574054142, 62.246778467441786]]"
7,"[[84.09368462854142, 61.84872795544178], [84.43213454854143, 61.84872795544178], [84.09368462854142, 61.84872795544178], [84.09368462854142, 61.723494779441786], [84.09368462854142, 61.84872795544178], [84.09368462854142, 61.84872795544178], [84.43213454854143, 61.84872795544178], [84.43213454854143, 61.723494779441786], [84.09368462854142, 61.723494779441786], [84.09368462854142, 61.84872795544178], [84.09368462854142, 62.246418803441784]]"
8,"[[87.30881866054142, 66.11175524344178], [87.37545403654143, 66.11025562744179], [87.37645073254143, 65.70148225144179], [87.30988850854143, 65.67212086744178]]"
9,"[[82.62188162854142, 66.11175524344178], [82.55560591654142, 66.11025562744179], [82.55467627654143, 65.70148225144179], [82.61510592454142, 65.67481529944179]]"
10,"[[91.88385751654143, 68.65877986744178], [78.02889310054142, 68.65877986744178], [78.01376587654143, 68.65840191544179], [77.99899831654142, 68.65728939544178], [77.98463918854142, 68.65547278744178], [77.97074335654142, 68.65298561944178], [77.95736263654143, 68.64985532344178], [77.94455189254143, 68.64611237944179], [77.93235684454142, 68.64179031544178], [77.92083845254143, 68.63691961144178], [77.91004548454143, 68.63152769944179], [77.90002975654143, 68.62565115544179], [77.89084308454142, 68.61931741144178], [77.88254338054142, 68.61255694744179], [77.87517636454142, 68.60540329144179], [77.86879994854142, 68.59788387544178], [77.86346594854142, 68.59003222744178], [77.85922313254142, 68.58187882744178], [77.85612941254142, 68.57345415544178], [77.85423355654143, 68.56478869144178], [77.85359042854142, 68.55591291544178], [77.85359042854142, 62.92372707544178], [77.85423355654143, 62.91485434744178], [77.85612941254142, 62.906188883441786], [77.85922313254142, 62.897761163441785], [77.86346594854142, 62.88960776344178], [77.86879994854142, 62.88175611544178], [77.87517636454142, 62.874239747441784], [77.88254338054142, 62.86708304344178], [77.89084308454142, 62.86032562744178], [77.90002975654143, 62.85398883544178], [77.91004548454143, 62.84811229144179], [77.92083845254143, 62.84272342744178], [77.93235684454142, 62.837852723441785], [77.94455189254143, 62.833530659441784], [77.95736263654143, 62.82978771544178], [77.97074335654142, 62.82665741944178], [77.98463918854142, 62.82416720344178], [77.99899831654142, 62.82235059544178], [78.01376587654143, 62.82124112344178], [78.02889310054142, 62.820863171441786], [91.88385751654143, 62.820863171441786], [91.89898474054144, 62.82124112344178], [91.91375230054143, 62.82235059544178], [91.92810838054143, 62.82416720344178], [91.94200421254142, 62.82665741944178], [91.95538493254142, 62.82978771544178], [91.96819872454142, 62.833530659441784], [91.98039072454142, 62.837852723441785], [91.99191216454142, 62.84272342744178], [92.00270513254142, 62.84811229144179], [92.01272086054144, 62.85398883544178], [92.02190753254143, 62.86032562744178], [92.03020723654143, 62.86708304344178], [92.03757425254142, 62.874239747441784], [92.04395066854143, 62.88175611544178], [92.04928466854142, 62.88960776344178], [92.05352748454143, 62.897761163441785], [92.05662120454141, 62.906188883441786], [92.05851706054142, 62.91485434744178], [92.05916018854143, 62.92372707544178], [92.05916018854143, 68.55591291544178], [92.05851706054142, 68.56478869144178], [92.05662120454141, 68.57345415544178], [92.05352748454143, 68.58187882744178], [92.04928466854142, 68.59003222744178], [92.04395066854143, 68.59788387544178], [92.03757425254142, 68.60540329144179], [92.03020723654143, 68.61255694744179], [92.02190753254143, 68.61931741144178], [92.01272086054144, 68.62565115544179], [92.00270513254142, 68.63152769944179], [91.99191216454142, 68.63691961144178], [91.98039072454142, 68.64179031544178], [91.96819872454142, 68.64611237944179], [91.95538493254142, 68.64985532344178], [91.94200421254142, 68.65298561944178], [91.92810838054143, 68.65547278744178], [91.91375230054143, 68.65728939544178], [91.89898474054144, 68.65840191544179], [91.88385751654143, 68.65877986744178]]"
