id,vertices
1,"[[24.07676935654142, 72.99586441144179], [24.076647436541425, 88.58004457144179], [23.07664740454142, 88.5800384754418], [23.076769324541424, 72.99585526744178]]"
2,"[[23.07647366854142, 111.31795997944178], [23.076528532541424, 104.20933817944179], [24.076528564541416, 104.20934732344179], [24.07647370054142, 111.31796912344178]]"
3,"[[24.076653532541417, 88.08003236344179], [25.26615382054142, 88.08001102744178], [25.266172108541426, 89.08001105944179], [24.07664438854142, 89.08003239544178], [24.076647436541425, 88.58004457144179], [24.076647436541425, 88.58004457144179]]"
4,"[[100.12639018054142, 76.32826719544178], [100.12563012114921, 15.636005840882284], [101.12563015314922, 15.636005840882284], [101.12638716454143, 77.32826722744178]]"
5,"[[100.12646688819846, 15.636024820248004], [18.000032716541426, 15.638432771441778], [18.99998702854142, 14.638402259441783], [101.12399959334779, 14.636024788248008], [101.12403007334778, 15.636024820248004]]"
6,"[[1.0022694045414227, 1.0092214914417852], [1.002240160624126, 122.63287228642375], [0.0022401286241304774, 122.63287228642375], [0.002269372541427117, 1.0092214914417852]]"
7,"[[18.000032716541426, 15.638432771441778], [17.99983459654142, 11.273565707441783], [18.99978890854142, 10.273538243441784], [18.99998702854142, 14.638402259441783]]"
8,"[[39.424104676541425, 122.63297417944179], [39.424324132541415, 76.32820928344178], [40.424324164541424, 76.32821537944179], [40.42410470854142, 122.63297722744178], [39.424104676541425, 122.63297417944179], [0.000027431999995997103, 122.64172366496709], [0.0, 123.64172369696709], [40.42215856046016, 123.64187102191367], [40.4221616355687, 122.63297711368648]]"
9,"[[23.076528532541424, 104.20933817944179], [23.07664740454142, 88.5800384754418], [24.076647436541425, 88.58004457144179], [24.076528564541416, 104.20934732344179]]"
10,"[[40.424324164541424, 76.32821842744178], [100.12639018054142, 76.32826719544178], [101.12638716454143, 77.32826722744178], [40.42432111654142, 77.32821845944179]]"
11,"[[22.09025669254142, 88.08006589144179], [23.07665350054142, 88.08005065144178], [23.07664740454142, 88.5800384754418], [23.07664740454142, 88.5800384754418], [23.076644356541422, 89.08005068344178], [22.09027193254142, 89.08006592344178]]"
12,"[[13.922021066780971, 11.292418362220339], [13.906738532791643, 1.0000274640000058], [14.906692844791642, 0.0], [14.92197537878097, 10.292387850220344]]"
13,"[[13.921741453808181, 1.001310184098223], [0.0012079392043986559, 1.001647605447836], [0.0011805072044026588, 0.0016475734478405002], [14.921316085747186, 0.001516509447831993]]"
14,"[[18.99984970183869, 10.273597515498516], [14.928678703667082, 10.299093791059747], [13.928605853072533, 11.299002711084654], [17.999773803244153, 11.273506435385066]]"
